postcode,lat,lng,lsoa
"E20 2AQ",51.539949000,-0.010159000,E01033578
"E20 2AR",51.539951000,-0.010131000,NULL
"E20 2AS",51.539951000,-0.010131000,NULL
"E20 2GL",51.549444000,-0.007999000,E01033583
"E20 2SS",51.539524000,-0.015873000,E01033578
"E20 2ST",51.538636000,-0.016403000,E01033579
"E20 2WS",51.539801000,-0.019481000,E01004224
"E20 3AB",51.550395000,-0.015256000,E01033583
"E20 3AD",51.552885000,-0.015739000,E01004430
"E20 3AF",51.552887000,-0.015711000,E01004430
"E20 3AG",51.546173000,-0.020749000,NULL
"E20 3AH",51.545837000,-0.021585000,NULL
"E20 3AJ",51.545727000,-0.020407000,NULL
"E20 3AL",51.545701000,-0.019932000,NULL
"E20 3AN",51.545526000,-0.019680000,NULL
"E20 3AP",51.545352000,-0.019529000,NULL
"E20 3AQ",51.545974000,-0.020151000,NULL
"E20 3AR",51.545489000,-0.021211000,NULL
"E20 3AS",51.545586000,-0.021106000,NULL
"E20 3AT",51.545164000,-0.020100000,NULL
"E20 3AU",51.545164000,-0.020100000,NULL
"E20 3AW",51.545164000,-0.020100000,NULL
"E20 3AX",51.545392000,-0.020826000,NULL
"E20 3AY",51.547667000,-0.025054000,NULL
"E20 3AZ",51.545372000,-0.020149000,NULL
"E20 3BB",51.548429000,-0.013870000,E01033583
"E20 3BS",51.547521000,-0.022262000,E01001849
"E20 3EL",51.550492000,-0.015151000,E01033583
"E20 3ET",51.552885000,-0.015739000,E01004430
"E20 3HB",51.544215000,-0.019953000,E01001849
"E20 3HY",51.549196000,-0.020400000,E01001846
"E20 3LS",51.549196000,-0.020400000,E01001846
"E20 3PS",51.547281000,-0.024190000,E01001849
